Anno,Macroarea,Settore di lavoro,Totale,Maschi,Femmine,% Maschi,% Femmine
2012,Nord-est,ATTIVITÀ EDITORIALI,7524.26,4085.83,3438.43,54.3,45.7
2013,Nord-est,ATTIVITÀ EDITORIALI,6332.780000000001,3374.31,2958.4700000000003,53.28,46.72
2015,Nord-est,ATTIVITÀ EDITORIALI,5816.92,3080.9,2736.02,52.96,47.04
2016,Nord-est,ATTIVITÀ EDITORIALI,5766.450000000001,3035.9200000000005,2730.5299999999997,52.65,47.35
2017,Nord-est,ATTIVITÀ EDITORIALI,5799.09,3021.7400000000002,2777.35,52.11,47.89
2012,Nord-est,ATTIVITÀ IMMOBILIARI,178418.36,109468.52,68949.84,61.35,38.65
2013,Nord-est,ATTIVITÀ IMMOBILIARI,185192.03999999998,115362.4,69829.64,62.29,37.71
2015,Nord-est,ATTIVITÀ IMMOBILIARI,182869.59999999998,112606.45999999999,70263.14,61.58,38.42
2016,Nord-est,ATTIVITÀ IMMOBILIARI,182195.5,111923.68,70271.82,61.43,38.57
2017,Nord-est,ATTIVITÀ IMMOBILIARI,177585.41999999998,108238.45999999999,69346.95999999999,60.95,39.05
2012,Nord-est,ATTIVITÀ LEGALI E CONTABILITÀ,97670.92000000001,36853.950000000004,60816.97,37.73,62.27
2013,Nord-est,ATTIVITÀ LEGALI E CONTABILITÀ,96811.31,36631.24,60180.07,37.84,62.16
2015,Nord-est,ATTIVITÀ LEGALI E CONTABILITÀ,97711.0,36812.14000000001,60898.85999999999,37.67,62.33
2016,Nord-est,ATTIVITÀ LEGALI E CONTABILITÀ,99035.67,37204.23,61831.439999999995,37.57,62.43
2017,Nord-est,ATTIVITÀ LEGALI E CONTABILITÀ,99972.38999999998,37430.13,62542.259999999995,37.44,62.56
2012,Nord-est,ESTRAZIONE DI MINERALI DA CAVE E MINIERE,3694.93,3268.0899999999997,426.84,88.45,11.55
2013,Nord-est,ESTRAZIONE DI MINERALI DA CAVE E MINIERE,3559.61,3141.01,418.6000000000001,88.24,11.76
2015,Nord-est,ESTRAZIONE DI MINERALI DA CAVE E MINIERE,3544.1900000000005,3096.3900000000003,447.80000000000007,87.37,12.63
2016,Nord-est,ESTRAZIONE DI MINERALI DA CAVE E MINIERE,3366.26,2963.84,402.41999999999996,88.05,11.95
2017,Nord-est,ESTRAZIONE DI MINERALI DA CAVE E MINIERE,3173.93,2799.1699999999996,374.76000000000005,88.19,11.81
2012,Nord-est,ISTRUZIONE,42153.520000000004,17904.36,24249.16,42.47,57.53
2013,Nord-est,ISTRUZIONE,41904.259999999995,18115.899999999998,23788.36,43.23,56.77
2015,Nord-est,ISTRUZIONE,43347.42,18434.54,24912.879999999997,42.53,57.47
2016,Nord-est,ISTRUZIONE,45530.04,19353.84,26176.2,42.51,57.49
2017,Nord-est,ISTRUZIONE,48026.24,20509.559999999998,27516.68,42.7,57.3
2012,Nord-est,RICERCA SCIENTIFICA E SVILUPPO,6012.22,3679.61,2332.61,61.2,38.8
2013,Nord-est,RICERCA SCIENTIFICA E SVILUPPO,5531.97,3329.07,2202.9,60.18,39.82
2015,Nord-est,RICERCA SCIENTIFICA E SVILUPPO,5442.99,3236.5499999999997,2206.44,59.46,40.54
2016,Nord-est,RICERCA SCIENTIFICA E SVILUPPO,5873.969999999999,3554.98,2318.99,60.52,39.48
2017,Nord-est,RICERCA SCIENTIFICA E SVILUPPO,6982.780000000001,4134.38,2848.4,59.21,40.79
2012,Nord-est,SANITÀ E ASSISTENZA SOCIALE,172187.77,48306.99,123880.78,28.05,71.95
2013,Nord-est,SANITÀ E ASSISTENZA SOCIALE,172101.52000000002,48314.96000000001,123786.56,28.07,71.93
2015,Nord-est,SANITÀ E ASSISTENZA SOCIALE,179362.47,50120.45,129242.02,27.94,72.06
2016,Nord-est,SANITÀ E ASSISTENZA SOCIALE,186466.16999999998,51896.579999999994,134569.59,27.83,72.17
2017,Nord-est,SANITÀ E ASSISTENZA SOCIALE,193264.78,53860.35,139404.43,27.87,72.13
2012,Nord-ovest,ATTIVITÀ EDITORIALI,22540.14,10679.880000000001,11860.26,47.38,52.62
2013,Nord-ovest,ATTIVITÀ EDITORIALI,21721.19,10312.449999999999,11408.74,47.48,52.52
2015,Nord-ovest,ATTIVITÀ EDITORIALI,19544.480000000003,9171.370000000003,10373.11,46.93,53.07
2016,Nord-ovest,ATTIVITÀ EDITORIALI,20429.02,9888.79,10540.23,48.41,51.59
2017,Nord-ovest,ATTIVITÀ EDITORIALI,19678.699999999997,9464.63,10214.069999999998,48.1,51.9
2012,Nord-ovest,ATTIVITÀ IMMOBILIARI,223267.34,132974.76,90292.57999999999,59.56,40.44
2013,Nord-ovest,ATTIVITÀ IMMOBILIARI,227580.42,137058.2,90522.22,60.22,39.78
2015,Nord-ovest,ATTIVITÀ IMMOBILIARI,224494.22000000003,133159.14,91335.08,59.32,40.68
2016,Nord-ovest,ATTIVITÀ IMMOBILIARI,225272.46,133484.84,91787.62,59.25,40.75
2017,Nord-ovest,ATTIVITÀ IMMOBILIARI,218197.90000000002,128968.52000000002,89229.38,59.11,40.89
2012,Nord-ovest,ATTIVITÀ LEGALI E CONTABILITÀ,147793.31,57980.82,89812.48999999999,39.23,60.77
2013,Nord-ovest,ATTIVITÀ LEGALI E CONTABILITÀ,146719.18000000002,57824.26,88894.92000000001,39.41,60.59
2015,Nord-ovest,ATTIVITÀ LEGALI E CONTABILITÀ,146472.84,57226.22,89246.62,39.07,60.93
2016,Nord-ovest,ATTIVITÀ LEGALI E CONTABILITÀ,149176.3,58193.95,90982.34999999999,39.01,60.99
2017,Nord-ovest,ATTIVITÀ LEGALI E CONTABILITÀ,150421.38,58669.5,91751.87999999999,39.0,61.0
2012,Nord-ovest,ESTRAZIONE DI MINERALI DA CAVE E MINIERE,4510.700000000001,3949.6200000000003,561.08,87.56,12.44
2013,Nord-ovest,ESTRAZIONE DI MINERALI DA CAVE E MINIERE,4367.01,3813.15,553.86,87.32,12.68
2015,Nord-ovest,ESTRAZIONE DI MINERALI DA CAVE E MINIERE,4316.93,3766.86,550.0699999999999,87.26,12.74
2016,Nord-ovest,ESTRAZIONE DI MINERALI DA CAVE E MINIERE,4143.85,3589.4700000000003,554.38,86.62,13.38
2017,Nord-ovest,ESTRAZIONE DI MINERALI DA CAVE E MINIERE,4101.99,3553.8599999999997,548.13,86.64,13.36
2012,Nord-ovest,ISTRUZIONE,64209.979999999996,23345.66,40864.32,36.36,63.64
2013,Nord-ovest,ISTRUZIONE,64451.780000000006,23728.120000000003,40723.66,36.82,63.18
2015,Nord-ovest,ISTRUZIONE,64690.81999999999,24303.92,40386.899999999994,37.57,62.43
2016,Nord-ovest,ISTRUZIONE,67583.44,25436.0,42147.44,37.64,62.36
2017,Nord-ovest,ISTRUZIONE,70990.68,26799.6,44191.08,37.75,62.25
2012,Nord-ovest,RICERCA SCIENTIFICA E SVILUPPO,9699.900000000001,5536.340000000001,4163.56,57.08,42.92
2013,Nord-ovest,RICERCA SCIENTIFICA E SVILUPPO,9058.55,4993.959999999999,4064.59,55.13,44.87
2015,Nord-ovest,RICERCA SCIENTIFICA E SVILUPPO,11337.85,6490.79,4847.06,57.25,42.75
2016,Nord-ovest,RICERCA SCIENTIFICA E SVILUPPO,11901.13,6680.4,5220.73,56.13,43.87
2017,Nord-ovest,RICERCA SCIENTIFICA E SVILUPPO,13172.39,7568.780000000001,5603.61,57.46,42.54
2012,Nord-ovest,SANITÀ E ASSISTENZA SOCIALE,236435.15,68497.22,167937.93,28.97,71.03
2013,Nord-ovest,SANITÀ E ASSISTENZA SOCIALE,239886.47999999998,69598.99999999999,170287.47999999998,29.01,70.99
2015,Nord-ovest,SANITÀ E ASSISTENZA SOCIALE,255931.32999999996,73961.99999999999,181969.33,28.9,71.1
2016,Nord-ovest,SANITÀ E ASSISTENZA SOCIALE,268743.05000000005,77410.70999999999,191332.34000000003,28.8,71.2
2017,Nord-ovest,SANITÀ E ASSISTENZA SOCIALE,283379.18,81500.73000000001,201878.44999999998,28.76,71.24
2012,Sud,ATTIVITÀ EDITORIALI,2591.3899999999994,1591.0199999999998,1000.3699999999999,61.4,38.6
2013,Sud,ATTIVITÀ EDITORIALI,2494.74,1559.9699999999998,934.77,62.53,37.47
2015,Sud,ATTIVITÀ EDITORIALI,2447.44,1533.6999999999998,913.7400000000001,62.67,37.33
2016,Sud,ATTIVITÀ EDITORIALI,2406.5499999999997,1515.6299999999999,890.92,62.98,37.02
2017,Sud,ATTIVITÀ EDITORIALI,2396.04,1514.1699999999998,881.87,63.19,36.81
